相手,段数,目安の得点差,重み,経路,試合1,試合2,試合3
学習院,3,0,0.0294,武蔵丘 → 駒場 → 石神井 → 学習院,武蔵丘 × 0-2 駒場（2024 総体 2回戦）,駒場 ○ 1-1 PK勝 4-2 石神井（2025 総体 ブロック決勝）,石神井 ○ 3-1 学習院（2023 総体 1回戦）
学習院,3,-4,0.0294,武蔵丘 → 桜町 → 石神井 → 学習院,武蔵丘 × 0-1 桜町（2025 総体 ブロック決勝）,桜町 × 0-7 石神井（2024 総体 1回戦）,石神井 ○ 3-1 学習院（2023 総体 1回戦）
学習院,3,0,0.0294,武蔵丘 → 桜町 → 日本大学豊山 → 学習院,武蔵丘 × 0-1 桜町（2025 総体 ブロック決勝）,桜町 × 0-4 日本大学豊山（2025 総体 1回戦）,日本大学豊山 ○ 6-0 学習院（2022 新人戦 準決勝）
学習院,3,5,0.0294,武蔵丘 → 富士 → 成城学園 → 学習院,武蔵丘 ○ 5-0 富士（2026 総体 1回戦）,富士 × 0-1 成城学園（2022 総体 2回戦）,成城学園 ○ 2-1 学習院（2024 総体 1回戦）
学習院,3,-5,0.0294,武蔵丘 → 日大二 → 国士舘 → 学習院,武蔵丘 × 0-2 日大二（2022 選手権 ブロック決勝）,日大二 × 1-5 国士舘（2024 関東 1回戦）,国士舘 ○ 1-0 学習院（2026 関東 1回戦）
学習院,3,3,0.0294,武蔵丘 → 野津田 → 成城学園 → 学習院,武蔵丘 ○ 2-1 野津田（2024 選手権 2回戦）,野津田 ○ 1-0 成城学園（2024 新人戦 3回戦）,成城学園 ○ 2-1 学習院（2024 総体 1回戦）
学習院,3,-3,0.0294,武蔵丘 → 城北 → 東海大学菅生 → 学習院,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 × 1-2 東海大学菅生（2023 選手権 1回戦）,東海大学菅生 × 1-2 学習院（2025 総体 ブロック決勝）
学習院,3,-5,0.0206,武蔵丘 → 明大中野 → 本郷 → 学習院,武蔵丘 × 1-3 明大中野（2022 新人戦 3回戦）,明大中野 × 0-3 本郷（2024 選手権 2回戦）,本郷 × 1-1 PK負 3-4 学習院（2025 新人戦 準々決勝）
学習院,3,3,0.0206,武蔵丘 → 杉並学院 → 学大附 → 学習院,武蔵丘 × 2-3 杉並学院（2023 新人戦 3回戦）,杉並学院 ○ 3-0 学大附（2022 総体 1回戦）,学大附 ○ 1-0 学習院（2026 総体 1回戦）
学習院,3,2,0.0206,武蔵丘 → 中大杉並 → 成城学園 → 学習院,武蔵丘 ○ 2-1 中大杉並（2024 新人戦 3回戦）,中大杉並 × 1-1 PK負 10-11 成城学園（2023 総体 2回戦）,成城学園 ○ 2-1 学習院（2024 総体 1回戦）
学習院,3,-3,0.0206,武蔵丘 → 日大鶴ヶ丘 → 成城学園 → 学習院,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 × 0-3 成城学園（2025 選手権 3回戦）,成城学園 ○ 2-1 学習院（2024 総体 1回戦）
学習院,3,-3,0.0206,武蔵丘 → 目黒日大 → 狛江 → 学習院,武蔵丘 × 0-1 目黒日大（2023 総体 1回戦）,目黒日大 × 2-6 狛江（2024 新人戦 3回戦）,狛江 ○ 3-1 学習院（2024 選手権 ブロック決勝）
学習院,3,-2,0.0206,武蔵丘 → 桜町 → 専修大学附属 → 学習院,武蔵丘 × 0-1 桜町（2025 総体 ブロック決勝）,桜町 × 0-2 専修大学附属（2024 選手権 ブロック決勝）,専修大学附属 ○ 2-1 学習院（2022 選手権 ブロック決勝）
学習院,3,-3,0.0206,武蔵丘 → 昭和第一学園 → 明星学園 → 学習院,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 × 0-4 明星学園（2024 総体 ブロック決勝）,明星学園 ○ 2-1 学習院（2025 選手権 2回戦）
学習院,3,-4,0.0206,武蔵丘 → 保善 → 石神井 → 学習院,武蔵丘 × 0-5 保善（2023 選手権 2回戦）,保善 × 1-2 石神井（2025 選手権 2回戦）,石神井 ○ 3-1 学習院（2023 総体 1回戦）
学習院,3,1,0.0206,武蔵丘 → 城北 → 明治学院 → 学習院,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 ○ 2-1 明治学院（2024 選手権 1回戦）,明治学院 ○ 2-1 学習院（2023 選手権 1回戦）
学習院,3,-7,0.0144,武蔵丘 → 明大中野 → 本郷 → 学習院,武蔵丘 × 1-3 明大中野（2022 新人戦 3回戦）,明大中野 × 0-3 本郷（2024 選手権 2回戦）,本郷 × 0-2 学習院（2024 新人戦 準々決勝）
学習院,3,5,0.0144,武蔵丘 → 杉並 → 桜修館 → 学習院,武蔵丘 ○ 8-1 杉並（2023 新人戦 2回戦）,杉並 ○ 1-0 桜修館（2025 選手権 1回戦）,桜修館 × 1-2 学習院（2022 選手権 2回戦）
